towns	tmax	tmin	rain	sun	twater
Ehrenfriedersdorf	24	-5	150	66
Ehrenkirchen	25	-1	174	53
Eibenstock	24	-5	150	62
Eichenzell	24	-3	111	53
Eichstetten	25	-2	158	58
Eichstaett	23	-5	173	55
Eicklingen	22	-2	122	49
Eigeltingen	23	-5	173	56
Einbeck	18	-2	126	51
Einbeck-Negenborn	18	-2	126	50
Eisenach	24	-2	170	47
Eisenbach	25	-3	134	55
Eisenberg	24	-2	111	50
Eisenberg	25	-7	172	57
Eisenberg	24	-3	170	47
Eisenschmitt	23	-1	129	55
Eisleben	24	-4	170	48
Eitorf	23	-2	180	48
Elend-Mandelholz	22	-2	122	48
Elfershausen	25	-2	111	49
Elisabethszell	23	-5	173	59
Elkenroth	23	-1	180	47
Ellenz-Poltersdorf	23	-1	129	54
Ellwangen	23	-4	167	58
Elmau	25	-7	172	59
Elmenhorst	21	-2	113	58	8
Elmshorn	22	-2	190	50
Eltville	24	-2	111	53
Elzach	25	-3	158	54
Emden	21	-2	138	45
Emmelshausen	23	-1	129	54
Emmendingen	24	-2	158	58
Emmerich	21	-1	197	46
Empfingen	23	-4	167	59
Emsbueren	22	-2	122	48
Emsdetten	22	-2	122	49
Enderndorf	25	-5	114	57
Endingen	25	-2	158	55
Enkering	24	-4	114	59
Enkirch	23	-1	129	51
Ennigerloh-Ostenfelde	22	-2	122	48
Ensch	23	-2	129	52
Enzkloesterle	23	-4	167	57
Eppelborn	23	-1	129	49
Eppelheim	25	-2	111	51
Eppenbrunn	23	-1	129	52
Eppenhain	25	-2	111	52
Eppingen	24	-2	111	50
Eppstein	24	-2	111	49
Erbach	24	-2	111	52
Erbenhausen	24	-3	170	47
Erding	23	-5	173	55
Erfurt	24	-3	170	47
Erfurt-Apfelstaedt	24	-3	170	48
Erfweiler	23	-2	129	54
Ering	24	-6	184	56
Erkelenz	23	-1	180	49
Erkner	23	-3	166	57
Erkrath	23	0	197	40
Erlabrunn	23	-5	150	62
Erlabrunn	24	-5	173	55
Erlangen	24	-4	114	57
Erlau	24	-6	187	57
Erlbach	23	-5	150	65
Erlenbach	24	-3	111	49
Erlensee	24	-2	111	48
Erndtebrueck	22	0	143	48
Ernst	24	-1	129	54
Erwitte	22	0	143	48
Erzgrube	23	-4	167	57
Eschau	24	-2	111	53
